indice,TimeStamp,RocketName,freq,counter,state,gps_latitude,gps_longitude,altitude,apogee,voltageMon,last_ack,last_nack,RSSI,SNR,PacketLength
192,14:47:15,<2>,921,193,IDLE_SAF5,F2Y034983,100.915798,119.0812,9.2219,0,3,0,-118,-8.5,72
193,14:47:17,<2>,921,194,IDLE_SAFE,15.034983,100.915798,119.0848,9.2219,0,3,0,-113,-4,72
194,14:47:19,<2>,921,195,IDLE_SAFE,15.034983,100.915798,118.9707,9.2219,0,3,0,-113,-3.75,72
195,14:47:21,<2>,921,196,IDLE_SAFE,15.034983,100.915798,119.0945,9.2219,0,3,0,-115,-6,72
196,14:47:23,<2>,921,196,IDLE_SAFE,15.034983,100.915798,119.0945,9.2219,0,3,0,-115,-6,72
197,14:47:25,<2>,921,198,IDLE_SAFE,15.034983,100.915798,118.9378,9.2219,0,3,0,-116,-7.5,72
198,14:47:29,<2>,921,200,IDLE_SAFE,15.034983,100.915798,119.0498,9.2219,0,3,0,-115,-5.5,72
199,14:47:31,<2>,921,201,IDLE_SAFE,15.034983,100.915798,119.1443,9.2219,0,3,0,-117,-7.5,72
200,14:47:33,<2>,921,202,IDLE_SAFE,15.034983,100.915798,119.0169,9.2219,0,3,0,-119,-10,72
201,14:47:35,<2>,921,203,IDLE_SAFE,15.034983,100.915798,119.0781,9.2219,0,3,0,-118,-8.75,72
202,14:47:37,<2>,921,203,IDLE_SAFE,15.034983,100.915798,119.0781,9.2219,0,3,0,-118,-8.75,72
203,14:47:39,<2>,921,205,IDLE_SAFE,15.034983,100.915798,119.0082,9.2219,0,3,0,-112,-2.75,72
204,14:47:41,<2>,921,206,IDLE_SAFE,15.034983,100.915798,118.8654,9.2219,0,3,0,-116,-6.5,72
205,14:47:43,<2>,921,207,IDLE_SAFE,15.034983,100.915798,118.9681,9.2219,0,3,0,-114,-4.75,72
206,14:47:45,<2>,921,208,IDLE_SAFE,15.034983,100.915798,118.9445,9.2219,0,3,0,-113,-4,72
207,14:47:47,<2>,921,209,IDLE_SAFE,15.034983,100.915798,119.0195,9.2219,0,3,0,-116,-7,72
208,14:47:49,<2>,921,210,IDLE_SAFE,15.034983,100.915798,119.0627,9.2219,0,3,0,-110,-1.25,72
209,14:47:51,<2>,921,211,IDLE_SAFE,15.034983,100.915798,119.2188,9.2219,0,3,0,-114,-4.5,72
210,14:47:53,<2>,921,212,IDLE_SAFE,15.034983,100.915798,119.1377,9.2219,0,3,0,-115,-5.75,72
211,14:47:55,<2>,921,213,IDLE_SAFE,15.034983,100.915798,118.7904,9.2219,0,3,0,-112,-3.25,72
212,14:47:57,<2>,921,214,IDLE_SAFE,15.034983,100.915798,118.9039,9.2219,0,3,0,-117,-7.25,72
213,14:47:59,<2>,921,215,IDLE_SAFE,15.034983,100.915798,119.0283,9.2219,0,3,0,-116,-7,72
214,14:48:01,<2>,921,216,IDLE_SAFE,15.034983,100.915798,118.9404,9.2219,0,3,0,-116,-7,72
215,14:48:03,<2>,921,217,IDLE_SAFE,15.034983,100.915798,118.8233,9.2219,0,3,0,-119,-9,72
216,14:48:05,<2>,921,218,IDLE_SAFE,15.034983,100.915798,119.0709,9.2219,0,3,0,-118,-8.25,72
217,14:48:07,<2>,921,219,IDLE_SAFE,15.034983,100.915798,119.0652,9.2219,0,3,0,-122,-12.25,72
218,14:48:09,<2>,921,220,IDLE_SAFE,15.034983,100.915798,118.9995,9.2219,0,3,0,-116,-7,72
219,14:48:11,<2>,921,220,IDLE_SAFE,15.034983,100.915798,118.9995,9.2219,0,3,0,-116,-7,72
220,14:48:13,<2>,921,222,IDLE_SAFE,15.034983,100.915798,119.058,9.2219,0,3,0,-124,-14.5,72
221,14:48:15,<2>,921,223,IDLE_SAFE,15.034983,100.915798,119.1418,9.2219,0,3,0,-115,-5.5,72
222,14:48:17,<2>,921,223,IDLE_SAFE,15.034983,100.915798,119.1418,9.2219,0,3,0,-115,-5.5,72
223,14:48:19,<2>,921,225,IDLE_SAFE,15.034983,100.915798,119.036,9.2219,0,3,0,-118,-8.25,72
